STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;REF_AREA;Reference area;FREQ;Frequency of observation;MEASURE;Measure.1;UNIT_MEASURE;Unit of measure;AGE;Age.1;SEX;Sex.1;SOCIO_ECON_STATUS;Socio-economic status;DEATH_CAUSE;Cause of death;CALC_METHODOLOGY;Calculation methodology;GESTATION_THRESHOLD;Gestation period threshold;HEALTH_STATUS;Health status;DISEASE;Disease.1;CANCER_SITE;Cancer site;TIME_PERIOD;Time period;OBS_VALUE;Observation value;DECIMALS;Decimals.1;OBS_STATUS;Observation status;OBS_STATUS2;Observation status 2;OBS_STATUS3;Observation status 3;UNIT_MULT;Unit multiplier
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2012;;161;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2014;;162;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2016;;156;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2018;;150;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2019;;155;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2020;;145;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2021;;144;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2022;;156;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2023;;146;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2002;;271;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2003;;267;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2004;;253;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2005;;247;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;237;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2007;;229;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2008;;219;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2010;;214;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;206;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2012;;204;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2013;;199;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2014;;197;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2015;;201;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2016;;195;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2017;;189;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2018;;188;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2019;;183;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2021;;198;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2022;;187;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUT;Austria;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2023;;175;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2000;;280;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2002;;264;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2003;;257;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2004;;244;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2005;;245;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;232;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2007;;230;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2008;;228;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2009;;223;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2010;;217;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;212;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2012;;209;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2013;;204;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2014;;194;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2015;;193;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2016;;185;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2017;;180;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2018;;178;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2019;;170;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2020;;195;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BEL;Belgium;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2021;;184;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;CAN;Canada;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2000;;254;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;CAN;Canada;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2001;;246;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;CAN;Canada;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2002;;243;;;;;;;;;;;
